option epsilon n_trials delta_mean delta_sterr
put 0.01 10 -0.3185306750684907 0.012810059242625372
put 0.01 100 -0.32727306636840486 0.0033289932588404605
put 0.01 1000 -0.324538854977515 0.0012135616449376655
put 0.01 10000 -0.32652450846908193 0.00037425502282955475
put 0.01 100000 -0.3263599208703178 0.00012362226404084894
put 0.01 1000000 -0.3261241111611515 4.1606670289244174e-05
put 0.05 10 -0.31991859402695355 0.011385633386057106
put 0.05 100 -0.32593606307578715 0.0036861345029556803
put 0.05 1000 -0.3240925064796281 0.0013656779856480558
put 0.05 10000 -0.3259933049274916 0.00039837574014706155
put 0.05 100000 -0.3258591214156542 0.00013211616484005187
put 0.05 1000000 -0.3258398175603962 3.78997206141576e-05
put 0.1 10 -0.3241981127694908 0.011250093348151182
put 0.1 100 -0.31762316844485367 0.003675140053953372
put 0.1 1000 -0.32444064886487484 0.0011826435089636277
put 0.1 10000 -0.32606393649849946 0.00040070609526948427
put 0.1 100000 -0.325249819228152 0.0001285389531374778
put 0.1 1000000 -0.3253664263206927 4.0360187696395833e-05
put 0.5 10 -0.32315680680647313 0.013423601882226896
put 0.5 100 -0.3271395890719442 0.004044039608071226
put 0.5 1000 -0.32370681619933245 0.0013610955370675982
put 0.5 10000 -0.3220723466732301 0.000387550502929688
put 0.5 100000 -0.32184337977468763 0.00013319054890577548
put 0.5 1000000 -0.32173282210070675 4.15377035963558e-05
digital 0.01 10 0.0 0.0
digital 0.01 100 0.00941764533584255 0.009370438796289089
digital 0.01 1000 0.009417645335842773 0.0028252936007528316
digital 0.01 10000 0.017799349684742505 0.0012697766189012027
digital 0.01 100000 0.018185473143511155 0.00041793447319737583
digital 0.01 1000000 0.017966983771721567 0.00014251222048544963
digital 0.05 10 0.0 0.0
digital 0.05 100 0.020718819738853478 0.005893369520218795
digital 0.05 1000 0.017328467417950043 0.0016779273626456287
digital 0.05 10000 0.018759949508998286 0.0006009136701085135
digital 0.05 100000 0.01803102376000363 0.0002059146993559884
digital 0.05 1000000 0.018277201009082766 6.154366304681712e-05
digital 0.1 10 0.0 0.0
digital 0.1 100 0.021660584272437652 0.003963251308491648
digital 0.1 1000 0.015256585444064785 0.0012689731064540691
digital 0.1 10000 0.018110131980825173 0.000365922485304778
digital 0.1 100000 0.01835969958222472 0.00012169095612148209
digital 0.1 1000000 0.018238777016112418 3.964397375038928e-05
digital 0.5 10 0.005650587201505492 0.0032130598941488334
digital 0.5 100 0.01732846741795018 0.0015458714127283386
digital 0.5 1000 0.01778051439407065 0.000549990487613201
digital 0.5 10000 0.01775791204526459 0.00016592340999623903
digital 0.5 100000 0.018106176569784024 5.707515453270239e-05
digital 0.5 1000000 0.018066189247688047 1.8579886387116208e-05
