option epsilon n_trials delta_mean delta_sterr
put 0.01 10 -4.325025874979151 37.61684297671374
put 0.01 100 0.3863476182606897 11.54010189268395
put 0.01 1000 -0.3910566241903615 3.5150037668409313
put 0.01 10000 -0.1690899481020435 1.140042360672893
put 0.01 100000 -0.3431589748508604 0.3402204099183521
put 0.01 1000000 -0.32319673860313175 0.10230327379979973
put 0.05 10 -1.1886713950644707 6.978694057253681
put 0.05 100 -1.7279296862380908 2.3558748847458286
put 0.05 1000 -1.4092830574842816 0.7239949594166307
put 0.05 10000 -0.19834239438457804 0.22392200651557298
put 0.05 100000 -0.40324645926512337 0.06788705673909805
put 0.05 1000000 -0.3281918480418476 0.02443198973597716
put 0.1 10 0.9727981782836649 3.9279937293107965
put 0.1 100 0.1475671219589983 1.0388664149332048
put 0.1 1000 -0.7376747861561749 0.31609870178132615
put 0.1 10000 -0.044691281161359786 0.10164857228773652
put 0.1 100000 -0.36958559828357 0.03467572711078482
put 0.1 1000000 -0.327251296250674 0.01024943241952608
put 0.5 10 -0.8277669736668122 0.8095886253749418
put 0.5 100 -0.5607566272596375 0.24834337757889044
put 0.5 1000 -0.3530989516246268 0.0777167051905073
put 0.5 10000 -0.340405146327602 0.024631772712584557
put 0.5 100000 -0.32224944579765036 0.007072707236057513
put 0.5 1000000 -0.31909064082754474 0.002066135302919443
digital 0.01 10 -1.412646800376373 2.1116326611405474
digital 0.01 100 -0.6592351735089745 0.7208652328088675
digital 0.01 1000 0.2231981944594658 0.1848818586448598
digital 0.01 10000 0.009135115975767438 0.06455140936907819
digital 0.01 100000 -0.016123008814961537 0.022895213074037864
digital 0.01 1000000 0.01731622447901182 0.006293862144147298
digital 0.05 10 0.09417645335842476 0.436373484257664
digital 0.05 100 -0.06780704641806584 0.13539207322934416
digital 0.05 1000 0.06027293014939175 0.04305089892440235
digital 0.05 10000 0.016819914569814486 0.012466124146834963
digital 0.05 100000 0.01971866580418713 0.0042958105369449925
digital 0.05 1000000 0.018972411587775385 0.0011284595373422166
digital 0.1 10 -0.09417645335842485 0.2149617518373069
digital 0.1 100 -0.045204697612044036 0.06160435919555733
digital 0.1 1000 0.020342113925419826 0.01987088351513423
digital 0.1 10000 0.015501444222796734 0.006225062427185993
digital 0.1 100000 0.015908286501305012 0.0018016148408475136
digital 0.1 1000000 0.016291961372287212 0.0006634603116707838
digital 0.5 10 0.01695176160451648 0.0399641194776363
digital 0.5 100 0.014314820910480572 0.012480053810930678
digital 0.5 1000 0.01689525573250141 0.004297456799147409
digital 0.5 10000 0.016503481686530364 0.0013343092735927345
digital 0.5 100000 0.01884847537515515 0.0005226914656089719
digital 0.5 1000000 0.018137217128810928 0.00012570746591117463
