smoothing n_trials delta_mean delta_sterr
0.2 10 0.01735113098723455 0.0004905030331432712
0.2 100 0.016433922281033853 0.0001655721958637287
0.2 1000 0.016642091246036703 4.9864690594467695e-05
0.2 10000 0.016648392573905265 1.74540507304577e-05
0.2 100000 0.01665292978042389 5.547344398169754e-06
0.2 1000000 0.016653839993495897 1.620534601667275e-06
0.4 10 0.015784349154415737 0.0008908556593711818
0.4 100 0.01715269598907733 0.00029163191116420896
0.4 1000 0.017685493389720558 9.611795193147335e-05
0.4 10000 0.017749828367315736 2.623120711137279e-05
0.4 100000 0.017746307371534046 9.027064669900803e-06
0.4 1000000 0.017757967130521784 2.370206201283882e-06
0.6 10 0.016945336304575766 0.001054862804477193
0.6 100 0.018123045895344244 0.00039023763395182727
0.6 1000 0.01803340004871347 0.00010646786979550287
0.6 10000 0.018063541896744778 3.6860508210581456e-05
0.6 100000 0.017996060728700716 9.911537696698182e-06
0.6 1000000 0.018003723184903616 4.164396635178099e-06
0.8 10 0.01985215635977642 0.0013972099593731805
0.8 100 0.01794618364770813 0.0004199542425498132
0.8 1000 0.01814362300455519 0.000143891008421592
0.8 10000 0.018104525418693763 4.52262882085207e-05
0.8 100000 0.01809583271224496 1.3259426885191922e-05
0.8 1000000 0.018090067273420683 3.8430323120714335e-06
1 10 0.015479793532562212 0.00143891492940273
1 100 0.01683125058389747 0.00047344480470365246
1 1000 0.018274986951888016 0.00017242645747691973
1 10000 0.018090060084092002 5.437012300007394e-05
1 100000 0.018133692845208365 1.4050983497863688e-05
1 1000000 0.01812878900810834 4.860267735507565e-06
1.2 10 0.01897587351375712 0.0018146647082620767
1.2 100 0.018009185828375466 0.0004847416281756463
1.2 1000 0.018318728902669005 0.00016774427341247023
1.2 10000 0.018084525694057 5.9303854312348116e-05
1.2 100000 0.01818789406767883 1.6364707796185243e-05
1.2 1000000 0.018154720360209722 5.536501046281434e-06
1.4 10 0.015593493501721315 0.0017615636561650653
1.4 100 0.01890532765467902 0.0005209902067607566
1.4 1000 0.017978204508633504 0.00020402567834677693
1.4 10000 0.018158552014168702 5.88600773834757e-05
1.4 100000 0.018173460792766615 1.868924846653333e-05
1.4 1000000 0.01816160408697756 6.597587070679801e-06
1.6 10 0.01584239534324575 0.0017558998378799367
1.6 100 0.017661586772955186 0.0006284387584532064
1.6 1000 0.018364389655895465 0.00020289401085505932
1.6 10000 0.018161395172797433 6.695751467619613e-05
1.6 100000 0.018193308928438432 2.2927125070839416e-05
1.6 1000000 0.018170828468763296 7.168390051389345e-06
1.8 10 0.016482883925842174 0.002031236662386109
1.8 100 0.018271922035046125 0.0006371966452280844
1.8 1000 0.018200033584606753 0.00021254546624393129
1.8 10000 0.018184226510719027 7.603731435816919e-05
1.8 100000 0.01819509987308006 2.183482250866259e-05
1.8 1000000 0.018178273730721846 6.973784414214634e-06
2 10 0.019229755844240685 0.0026557136610467253
2 100 0.018056240978602464 0.0006537884531511392
2 1000 0.017933533859336145 0.0002686070758565425
2 10000 0.018161227468650867 8.614830357710925e-05
2 100000 0.018145953705108707 2.3753791932088477e-05
2 1000000 0.018188623049244183 6.29815168655516e-06
3 10 0.01987228837443509 0.003049770196063669
3 100 0.018023832884994744 0.0010087791523019632
3 1000 0.01836293396672659 0.0002617691375707655
3 10000 0.018150293306210995 9.001647200915905e-05
3 100000 0.01816788601862579 3.129366300638387e-05
3 1000000 0.018205894157685087 9.531043273745406e-06
4 10 0.016031387556171214 0.002816083520597832
4 100 0.017865620872984784 0.0009954598771011337
4 1000 0.01842975157781112 0.0002975050290560891
4 10000 0.01819252478267233 0.00010068836921464862
4 100000 0.01820070647205191 3.659675227385508e-05
4 1000000 0.018220192553883515 8.745842360739726e-06
5 10 0.017032970062626565 0.0034918128039521596
5 100 0.015852150544495514 0.001161790294882599
5 1000 0.018212425137399627 0.00039005375898392645
5 10000 0.018262202986111076 0.00010861460477007166
5 100000 0.01814423165139055 3.644437620350538e-05
5 1000000 0.01818639205311429 1.1586434019257693e-05
